Province,Population % (Pop Only),Critical Count (Pop Only),Banzhaf Index (Pop Only),Population % (7/50 Rule),Critical Count (7/50 Rule),Banzhaf Index (7/50 Rule),Power Change
ON,38.8,394,0.5,38.8,108,0.1463,-0.7074
QC,22.3,118,0.1497,22.3,78,0.1057,-0.293921176
BC,13.7,118,0.1497,13.7,78,0.1057,-0.293921176
AB,11.7,118,0.1497,11.7,78,0.1057,-0.293921176
MB,3.6,10,0.0127,3.6,66,0.0894,6.039370079
SK,3.1,10,0.0127,3.1,66,0.0894,6.039370079
NS,2.6,10,0.0127,2.6,66,0.0894,6.039370079
NB,2.1,6,0.0076,2.1,66,0.0894,10.76315789
NL,1.4,2,0.0025,1.4,66,0.0894,34.76
PE,0.4,2,0.0025,0.4,66,0.0894,34.76
