Coalition,States,Population (millions),Population Share,Meets State Threshold,Meets Population Threshold,Winning,Critical States
Malta,1,0.563,0.002564,No,No,No,--
Luxembourg,1,0.672,0.00306,No,No,No,--
Netherlands,1,17.943,0.081716,No,No,No,--
Spain,1,48.6,0.221334,No,No,No,--
France,1,68.4,0.311507,No,No,No,--
Germany,1,83.4,0.379819,No,No,No,--
"Malta, Luxembourg",2,1.235,0.005624,No,No,No,--
"Netherlands, Malta",2,18.506,0.08428,No,No,No,--
"Netherlands, Luxembourg",2,18.615,0.084776,No,No,No,--
"Spain, Malta",2,49.163,0.223898,No,No,No,--
"Spain, Luxembourg",2,49.272,0.224394,No,No,No,--
"Spain, Netherlands",2,66.543,0.303049,No,No,No,--
"France, Malta",2,68.963,0.314071,No,No,No,--
"France, Luxembourg",2,69.072,0.314567,No,No,No,--
"Germany, Malta",2,83.963,0.382383,No,No,No,--
"Germany, Luxembourg",2,84.072,0.38288,No,No,No,--
"France, Netherlands",2,86.343,0.393222,No,No,No,--
"Germany, Netherlands",2,101.343,0.461535,No,No,No,--
"France, Spain",2,117.0,0.53284,No,No,No,--
"Germany, Spain",2,132.0,0.601153,No,No,No,--
"Germany, France",2,151.8,0.691326,No,Yes,No,--
"Netherlands, Malta, Luxembourg",3,19.178,0.08734,No,No,No,--
"Spain, Malta, Luxembourg",3,49.835,0.226958,No,No,No,--
"Spain, Netherlands, Malta",3,67.106,0.305613,No,No,No,--
"Spain, Netherlands, Luxembourg",3,67.215,0.30611,No,No,No,--
"France, Malta, Luxembourg",3,69.635,0.317131,No,No,No,--
"Germany, Malta, Luxembourg",3,84.635,0.385444,No,No,No,--
"France, Netherlands, Malta",3,86.906,0.395786,No,No,No,--
"France, Netherlands, Luxembourg",3,87.015,0.396283,No,No,No,--
"Germany, Netherlands, Malta",3,101.906,0.464099,No,No,No,--
"Germany, Netherlands, Luxembourg",3,102.015,0.464596,No,No,No,--
"France, Spain, Malta",3,117.563,0.535404,No,No,No,--
"France, Spain, Luxembourg",3,117.672,0.535901,No,No,No,--
"Germany, Spain, Malta",3,132.563,0.603717,No,No,No,--
"Germany, Spain, Luxembourg",3,132.672,0.604214,No,No,No,--
"France, Spain, Netherlands",3,134.943,0.614556,No,No,No,--
"Germany, Spain, Netherlands",3,149.943,0.682869,No,Yes,No,--
"Germany, France, Malta",3,152.363,0.69389,No,Yes,No,--
"Germany, France, Luxembourg",3,152.472,0.694387,No,Yes,No,--
"Germany, France, Netherlands",3,169.743,0.773042,No,Yes,No,--
"Germany, France, Spain",3,200.4,0.91266,No,Yes,No,--
"Spain, Netherlands, Malta, Luxembourg",4,67.778,0.308674,Yes,No,No,--
"France, Netherlands, Malta, Luxembourg",4,87.578,0.398847,Yes,No,No,--
"Germany, Netherlands, Malta, Luxembourg",4,102.578,0.46716,Yes,No,No,--
"France, Spain, Malta, Luxembourg",4,118.235,0.538465,Yes,No,No,--
"Germany, Spain, Malta, Luxembourg",4,133.235,0.606778,Yes,No,No,--
"France, Spain, Netherlands, Malta",4,135.506,0.61712,Yes,No,No,--
"France, Spain, Netherlands, Luxembourg",4,135.615,0.617617,Yes,No,No,--
"Germany, Spain, Netherlands, Malta",4,150.506,0.685433,Yes,Yes,Yes,"Germany, Spain, Netherlands, Malta"
"Germany, Spain, Netherlands, Luxembourg",4,150.615,0.685929,Yes,Yes,Yes,"Germany, Spain, Netherlands, Luxembourg"
"Germany, France, Malta, Luxembourg",4,153.035,0.696951,Yes,Yes,Yes,"Germany, France, Malta, Luxembourg"
"Germany, France, Netherlands, Malta",4,170.306,0.775606,Yes,Yes,Yes,"Germany, France, Netherlands, Malta"
"Germany, France, Netherlands, Luxembourg",4,170.415,0.776102,Yes,Yes,Yes,"Germany, France, Netherlands, Luxembourg"
"Germany, France, Spain, Malta",4,200.963,0.915224,Yes,Yes,Yes,"Germany, France, Spain, Malta"
"Germany, France, Spain, Luxembourg",4,201.072,0.91572,Yes,Yes,Yes,"Germany, France, Spain, Luxembourg"
"Germany, France, Spain, Netherlands",4,218.343,0.994376,Yes,Yes,Yes,"Germany, France, Spain, Netherlands"
"France, Spain, Netherlands, Malta, Luxembourg",5,136.178,0.620181,Yes,No,No,--
"Germany, Spain, Netherlands, Malta, Luxembourg",5,151.178,0.688493,Yes,Yes,Yes,"Germany, Spain, Netherlands"
"Germany, France, Netherlands, Malta, Luxembourg",5,170.978,0.778666,Yes,Yes,Yes,"Germany, France"
"Germany, France, Spain, Malta, Luxembourg",5,201.635,0.918284,Yes,Yes,Yes,"Germany, France"
"Germany, France, Spain, Netherlands, Malta",5,218.906,0.99694,Yes,Yes,Yes,Germany
"Germany, France, Spain, Netherlands, Luxembourg",5,219.015,0.997436,Yes,Yes,Yes,Germany
"Germany, France, Spain, Netherlands, Malta, Luxembourg",6,219.578,1.0,Yes,Yes,Yes,Germany
